Date : 2023-04-16 11:52:57
Directory : /Users/xing/Documents/projects/monitor/monitorAdmin
Total : 258 files,  21881 codes, 1148 comments, 2828 blanks, all 25857 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/components/Modal/src/hooks/useModal.ts                     | TypeScript         |         49 |          0 |          6 |         55 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/components/Modal/src/props.ts                              | TypeScript         |         28 |          1 |          2 |         31 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/components/Modal/src/type/index.ts                         | TypeScript         |         10 |          6 |          4 |         20 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/components/Overview/index.vue                              | vue                |        109 |          0 |          8 |        117 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/components/Table/index.ts                                  | TypeScript         |          4 |          0 |          1 |          5 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/components/Table/src/Table.vue                             | vue                |        307 |          6 |         42 |        355 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/components/Table/src/componentMap.ts                       | TypeScript         |         35 |          0 |          7 |         42 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/components/Table/src/components/TableAction.vue            | vue                |        128 |          3 |         11 |        142 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/components/Table/src/components/editable/CellComponent.ts  | TypeScript         |         42 |          0 |          6 |         48 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/components/Table/src/components/editable/EditableCell.vue  | vue                |        363 |          0 |         56 |        419 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/components/Table/src/components/editable/helper.ts         | TypeScript         |         11 |          3 |          2 |         16 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/components/Table/src/components/editable/index.ts          | TypeScript         |         44 |          1 |          5 |         50 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/components/Table/src/components/settings/ColumnSetting.vue | vue                |        303 |          0 |         29 |        332 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/components/Table/src/const.ts                              | TypeScript         |          6 |          0 |          6 |         12 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/components/Table/src/hooks/useColumns.ts                   | TypeScript         |        141 |          6 |         18 |        165 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/components/Table/src/hooks/useDataSource.ts                | TypeScript         |        122 |          8 |         17 |        147 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/components/Table/src/hooks/useLoading.ts                   | TypeScript         |         16 |          0 |          6 |         22 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/components/Table/src/hooks/usePagination.ts                | TypeScript         |         42 |          0 |          9 |         51 |
