Date : 2023-04-16 11:52:57
Directory : /Users/xing/Documents/projects/monitor/monitorAdmin
Total : 258 files,  21881 codes, 1148 comments, 2828 blanks, all 25857 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/hooks/useDomWidth.ts                                       | TypeScript         |         15 |          3 |          6 |         24 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/hooks/useOnline.ts                                         | TypeScript         |         17 |          6 |          8 |         31 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/hooks/useTime.ts                                           | TypeScript         |         34 |         14 |          8 |         56 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/hooks/web/useECharts.ts                                    | TypeScript         |        105 |          0 |         19 |        124 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/hooks/web/usePage.ts                                       | TypeScript         |         50 |          6 |          7 |         63 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/hooks/web/usePermission.ts                                 | TypeScript         |         29 |         17 |          7 |         53 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/layout/components/Footer/index.ts                          | TypeScript         |          2 |          0 |          2 |          4 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/layout/components/Footer/index.vue                         | vue                |         49 |          0 |          8 |         57 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/layout/components/Header/ProjectSetting.vue                | vue                |        324 |         15 |         46 |        385 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/layout/components/Header/components.ts                     | TypeScript         |         30 |          0 |          2 |         32 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/layout/components/Header/index.ts                          | TypeScript         |          2 |          0 |          2 |          4 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/layout/components/Header/index.vue                         | vue                |        415 |          9 |         45 |        469 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/layout/components/Logo/index.ts                            | TypeScript         |          2 |          0 |          2 |          4 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/layout/components/Logo/index.vue                           | vue                |         40 |          0 |          5 |         45 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/layout/components/Main/index.ts                            | TypeScript         |          2 |          0 |          2 |          4 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/layout/components/Main/index.vue                           | vue                |         45 |          0 |          6 |         51 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/layout/components/Menu/index.ts                            | TypeScript         |          2 |          0 |          2 |          4 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/layout/components/Menu/index.vue                           | vue                |        152 |          0 |         20 |        172 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/layout/components/TagsView/index.ts                        | TypeScript         |          2 |          0 |          2 |          4 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/layout/components/TagsView/index.vue                       | vue                |        607 |          0 |         68 |        675 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/layout/index.vue                                           | vue                |        229 |          0 |         41 |        270 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/layout/parentLayout.vue                                    | vue                |          3 |          0 |          1 |          4 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/main.ts                                                    | TypeScript         |         16 |          9 |         11 |         36 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/plugins/customComponents.ts                                | TypeScript         |          2 |          5 |          1 |          8 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/plugins/directives.ts                                      | TypeScript         |         13 |          9 |          3 |         25 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/plugins/globalMethods.ts                                   | TypeScript         |          1 |          4 |          1 |          6 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/plugins/index.ts                                           | TypeScript         |          4 |          0 |          1 |          5 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/plugins/naive.ts                                           | TypeScript         |        102 |          1 |          4 |        107 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/router/base.ts                                             | TypeScript         |         42 |          1 |          3 |         46 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/router/constant.ts                                         | TypeScript         |          4 |          0 |          4 |          8 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/router/generator-routers.ts                                | TypeScript         |         89 |         25 |          9 |        123 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/router/index.ts                                            | TypeScript         |         45 |          3 |         13 |         61 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/router/modules/dashboard.ts                                | TypeScript         |         41 |         10 |          4 |         55 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/router/modules/js.ts                                       | TypeScript         |         29 |          2 |          3 |         34 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/router/modules/performace.ts                               | TypeScript         |         29 |          2 |          3 |         34 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/router/modules/project.ts                                  | TypeScript         |         29 |          2 |          3 |         34 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/router/modules/request.ts                                  | TypeScript         |         29 |          2 |          3 |         34 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/router/modules/resource.ts                                 | TypeScript         |         29 |          2 |          3 |         34 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/router/modules/user-behavior.ts                            | TypeScript         |         37 |          3 |          3 |         43 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/router/router-guards.ts                                    | TypeScript         |         86 |          9 |         15 |        110 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/router/router-icons.ts                                     | TypeScript         |          5 |          1 |          2 |          8 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/router/types.ts                                            | TypeScript         |         43 |          8 |          5 |         56 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/settings/animateSetting.ts                                 | TypeScript         |          8 |          0 |          1 |          9 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/settings/componentSetting.ts                               | TypeScript         |         20 |         11 |          1 |         32 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/settings/designSetting.ts                                  | TypeScript         |         26 |          4 |          3 |         33 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/settings/projectSetting.ts                                 | TypeScript         |         32 |         25 |          1 |         58 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/store/index.ts                                             | TypeScript         |          9 |          0 |          4 |         13 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/store/modules/asyncRoute.ts                                | TypeScript         |        110 |          7 |         10 |        127 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/store/modules/designSetting.ts                             | TypeScript         |         32 |          4 |          5 |         41 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/store/modules/index.ts                                     | TypeScript         |          1 |         19 |          0 |         20 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/store/modules/lockscreen.ts                                | TypeScript         |         26 |          1 |          5 |         32 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/store/modules/project.ts                                   | TypeScript         |         21 |          0 |          3 |         24 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/store/modules/projectSetting.ts                            | TypeScript         |         92 |          1 |          5 |         98 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/store/modules/tabsView.ts                                  | TypeScript         |         57 |          9 |          6 |         72 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/store/modules/user.ts                                      | TypeScript         |        112 |          4 |          7 |        123 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/store/mutation-types.ts                                    | TypeScript         |          4 |          0 |          1 |          5 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/store/types.ts                                             | TypeScript         |         11 |          0 |          2 |         13 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/styles/common.less                                         | Less               |        101 |         11 |         23 |        135 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/styles/index.less                                          | Less               |          3 |          0 |          1 |          4 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/styles/tailwind.css                                        | CSS                |          3 |          1 |          1 |          5 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/styles/transition/base.less                                | Less               |         15 |          0 |          4 |         19 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/styles/transition/fade.less                                | Less               |         56 |         10 |         16 |         82 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/styles/transition/index.less                               | Less               |          9 |          0 |          2 |         11 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/styles/transition/scale.less                               | Less               |         18 |          0 |          4 |         22 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/styles/transition/scroll.less                              | Less               |         52 |          0 |         16 |         68 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/styles/transition/slide.less                               | Less               |         32 |          0 |          8 |         40 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/styles/transition/zoom.less                                | Less               |         21 |          2 |          5 |         28 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/styles/var.less                                            | Less               |          4 |          0 |          1 |          5 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/utils/Drag.ts                                              | TypeScript         |         80 |          4 |         15 |         99 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/utils/Storage.ts                                           | TypeScript         |         66 |         49 |         13 |        128 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/utils/browser-type.ts                                      | TypeScript         |        122 |         14 |          7 |        143 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/utils/dateUtil.ts                                          | TypeScript         |          9 |          0 |          4 |         13 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/utils/domUtils.ts                                          | TypeScript         |        126 |         17 |         23 |        166 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/utils/downloadFile.ts                                      | TypeScript         |         58 |         12 |          6 |         76 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/utils/env.ts                                               | TypeScript         |         52 |         22 |         14 |         88 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/utils/http/axios/Axios.ts                                  | TypeScript         |        144 |         28 |         29 |        201 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/utils/http/axios/axiosCancel.ts                            | TypeScript         |         36 |         17 |          9 |         62 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/utils/http/axios/axiosTransform.ts                         | TypeScript         |         19 |         25 |          9 |         53 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/utils/http/axios/checkStatus.ts                            | TypeScript         |         47 |          4 |          2 |         53 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/utils/http/axios/helper.ts                                 | TypeScript         |         39 |          3 |          6 |         48 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/utils/http/axios/index.ts                                  | TypeScript         |        204 |         62 |         22 |        288 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/utils/http/axios/types.ts                                  | TypeScript         |         39 |         22 |          5 |         66 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/utils/index.ts                                             | TypeScript         |        168 |         56 |         17 |        241 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/utils/is/index.ts                                          | TypeScript         |         59 |         40 |         20 |        119 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/utils/lib/echarts.ts                                       | TypeScript         |         50 |          0 |          6 |         56 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/utils/lodashChunk.ts                                       | TypeScript         |          6 |          4 |          3 |         13 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/utils/log.ts                                               | TypeScript         |          7 |          0 |          3 |         10 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/utils/propTypes.ts                                         | TypeScript         |         29 |          0 |          5 |         34 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/utils/urlUtils.ts                                          | TypeScript         |         14 |         10 |          1 |         25 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/views/dashboard/console/components/FluxTrend.vue           | vue                |        107 |          0 |          5 |        112 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/views/dashboard/console/components/Icons.ts                | TypeScript         |         24 |          0 |          2 |         26 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/views/dashboard/console/components/VisiTab.vue             | vue                |         29 |          0 |          2 |         31 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/views/dashboard/console/components/VisitAmount.vue         | vue                |         59 |          0 |          3 |         62 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/views/dashboard/console/components/props.ts                | TypeScript         |         15 |          0 |          3 |         18 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/views/dashboard/console/console.vue                        | vue                |        327 |          3 |          7 |        337 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/views/dashboard/monitor/monitor.vue                        | vue                |          5 |          0 |          3 |          8 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/views/exception/403.vue                                    | vue                |         36 |          0 |          5 |         41 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/views/exception/404.vue                                    | vue                |         36 |          0 |          5 |         41 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/views/exception/500.vue                                    | vue                |         36 |          0 |          5 |         41 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/views/js/index.vue                                         | vue                |         50 |          0 |          5 |         55 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/views/list/basicList/columns.ts                            | TypeScript         |         19 |          0 |          1 |         20 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/views/list/basicList/index.vue                             | vue                |        178 |          0 |         19 |        197 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/views/list/basicList/info.vue                              | vue                |         31 |          0 |          4 |         35 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/views/login/index.vue                                      | vue                |         81 |          0 |         12 |         93 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/views/login/login.vue                                      | vue                |         99 |          0 |         11 |        110 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/views/login/register.vue                                   | vue                |        131 |          0 |          9 |        140 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/views/perf/index.vue                                       | vue                |          5 |          0 |          3 |          8 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/views/project/list/create/CreateStep.vue                   | vue                |         94 |          0 |         10 |        104 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/views/project/list/create/step.ts                          | TypeScript         |          4 |          1 |          2 |          7 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/views/project/list/list.vue                                | vue                |         59 |          0 |          4 |         63 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/views/redirect/index.vue                                   | vue                |         21 |          0 |          2 |         23 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/views/request/index.vue                                    | vue                |          5 |          0 |          3 |          8 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/views/resource/index.vue                                   | vue                |          5 |          0 |          3 |          8 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/views/result/fail.vue                                      | vue                |         66 |          0 |          5 |         71 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/views/result/info.vue                                      | vue                |         70 |          0 |          5 |         75 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/views/result/success.vue                                   | vue                |         51 |          0 |          5 |         56 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/views/setting/account/BasicSetting.vue                     | vue                |         63 |          0 |          9 |         72 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/views/setting/account/SafetySetting.vue                    | vue                |         51 |          0 |          2 |         53 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/views/setting/account/account.vue                          | vue                |         69 |          0 |          8 |         77 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/views/setting/system/BasicSetting.vue                      | vue                |        118 |          0 |         16 |        134 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/views/setting/system/EmailSetting.vue                      | vue                |         68 |          0 |         12 |         80 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/views/setting/system/RevealSetting.vue                     | vue                |        201 |          0 |         18 |        219 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/src/views/setting/system/system.vue                            | vue                |         88 |          0 |          8 |         96 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/stylelint.config.js                                            | JavaScript         |         69 |          1 |          1 |         71 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/tailwind.config.js                                             | JavaScript         |         74 |          6 |          1 |         81 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/tsconfig.json                                                  | JSON with Comments |         49 |         11 |          0 |         60 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/types/config.d.ts                                              | TypeScript         |         53 |         15 |          7 |         75 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/types/global.d.ts                                              | TypeScript         |         80 |          7 |         16 |        103 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/types/index.d.ts                                               | TypeScript         |         20 |          0 |          9 |         29 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/types/modules.d.ts                                             | TypeScript         |          9 |          0 |          2 |         11 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/types/utils.d.ts                                               | TypeScript         |          4 |          0 |          2 |          6 |
| /Users/xing/Documents/projects/monitor/monitorAdmin/vite.config.ts                                                 | TypeScript         |         72 |         13 |          4 |         89 |
| Total                                                                                                              |                    |     21,881 |      1,148 |      2,828 |     25,857 |
+--------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
