"filename", "language", "TypeScript", "XML", "vue", "CSS", "Less", "JavaScript", "JSON with Comments", "JSON", "Properties", "Markdown", "Ignore", "HTML", "YAML", "comment", "blank", "total"
"/Users/xing/Documents/projects/monitor/monitorAdmin/src/api/project/project.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"/Users/xing/Documents/projects/monitor/monitorAdmin/src/api/system/menu.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 3, 24
"/Users/xing/Documents/projects/monitor/monitorAdmin/src/api/system/role.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 12
"/Users/xing/Documents/projects/monitor/monitorAdmin/src/api/system/user.ts", "TypeScript", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 7, 82
"/Users/xing/Documents/projects/monitor/monitorAdmin/src/api/table/list.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 11
"/Users/xing/Documents/projects/monitor/monitorAdmin/src/assets/icons/login.svg", "XML", 0, 126, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 128
"/Users/xing/Documents/projects/monitor/monitorAdmin/src/assets/icons/logo.svg", "XML", 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 61
"/Users/xing/Documents/projects/monitor/monitorAdmin/src/assets/images/Business.svg", "XML", 0, 474, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 475
"/Users/xing/Documents/projects/monitor/monitorAdmin/src/assets/images/Error.svg", "XML", 0, 253, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 256
"/Users/xing/Documents/projects/monitor/monitorAdmin/src/assets/images/analysis.svg", "XML", 0, 156, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 157
"/Users/xing/Documents/projects/monitor/monitorAdmin/src/assets/images/exception/403.svg", "XML", 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 101
"/Users/xing/Documents/projects/monitor/monitorAdmin/src/assets/images/exception/404.svg", "XML", 0, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 116
"/Users/xing/Documents/projects/monitor/monitorAdmin/src/assets/images/exception/500.svg", "XML", 0, 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 112
